,wine_id,wine_rate
0,136103,3
1,104036,4
2,144864,4
3,111430,5
4,157985,3
5,101794,4
6,135897,4
7,155523,4
8,106562,3
9,149019,3
10,159728,4
11,103911,4
12,148229,3
13,111446,5
14,136235,4
15,111401,5
16,103450,4
17,103901,4
18,111672,4
19,196234,3
20,112228,4
21,111436,4
22,102254,4
23,111478,4
24,160559,3
25,111395,5
26,137890,4
27,105915,4
28,111945,4
29,144548,3
30,180277,4
31,111413,5
32,135835,4
33,157788,4
34,111718,4
35,103486,4
36,111415,5
37,113258,4
38,155291,3
39,111403,5
40,155289,4
41,152484,3
42,101671,4
43,155531,4
44,155615,4
45,103705,4
46,155312,5
47,179012,4
48,111570,4
49,155386,4
50,103471,4
51,174189,3
52,135869,4
53,116433,4
54,179014,5
55,194896,4
56,103400,4
57,142436,4
58,174184,5
59,111714,4
60,112207,4
61,135885,4
62,143797,3
63,123271,4
64,195131,4
65,102921,4
66,101619,4
67,123807,5
68,106333,4
69,105412,4
70,136140,4
71,102156,5
72,111412,5
73,111555,4
74,101903,4
75,102514,4
76,102116,3
77,103709,5
78,144289,3
79,141544,4
80,155794,4
81,157640,4
82,102995,4
83,116554,4
84,135997,4
85,105601,4
86,114895,4
87,139708,4
88,144576,3
89,102149,4
90,102794,4
91,112099,4
92,155796,4
93,111603,4
94,111465,4
95,111432,4
96,145410,4
97,101660,4
98,120291,4
99,159091,4
100,117968,4
101,102251,4
102,159067,5
103,139761,3
104,111703,4
105,111821,4
106,102060,4
107,112320,5
108,103353,4
109,111391,5
110,156142,4
111,155509,4
112,112292,4
113,104433,4
114,105419,4
115,145488,3
116,112209,4
117,112113,4
118,119158,4
119,112034,4
120,111495,4
121,155516,4
122,111934,4
123,102048,4
124,111408,4
125,136115,4
126,111433,4
127,112476,4
128,103485,4
129,111479,4
130,156891,4
131,114794,4
132,111612,4
133,143271,4
134,119225,4
135,116420,4
136,112124,4
137,112567,4
138,112189,5
139,123461,4
140,137683,3
141,111417,4
142,155425,4
143,111442,4
144,111793,4
145,132472,4
146,111473,4
147,102768,4
148,120686,4
149,130545,4
150,141996,4
151,116118,4
152,112360,4
153,143943,4
154,118321,4
155,111813,5
156,171230,4
157,111750,4
158,106138,5
159,113375,4
160,113098,4
161,118456,3
162,131197,5
163,142025,3
164,111647,5
165,111458,4
166,113167,4
167,150970,4
168,111707,4
169,112716,4
170,112945,4
171,117180,4
172,111729,4
173,101614,5
174,155430,4
175,123638,4
176,144912,4
177,111406,4
178,114033,4
179,111422,4
180,121039,3
181,111437,4
182,119052,4
183,155296,4
184,137078,4
185,137404,4
186,113622,4
187,155303,4
188,157887,4
189,135958,4
190,135888,4
191,102812,4
192,155341,3
193,103736,3
194,137379,4
195,111451,4
196,111428,4
197,102089,4
198,101685,4
199,111548,4
200,127682,3
201,111425,4
202,157195,4
203,161979,5
204,135892,4
205,111464,4
206,155292,4
207,116542,4
208,103679,4
209,111508,4
210,102345,4
211,100696,3
212,114960,4
213,102939,4
214,131791,4
215,111625,4
216,171727,5
217,155772,4
218,101621,4
219,101744,4
220,111736,4
221,114866,4
222,102344,4
223,162416,4
224,114195,3
225,111431,4
226,111511,4
227,112013,4
228,139345,4
229,111587,4
230,102348,4
231,111902,4
232,136928,5
233,119295,4
234,111966,4
235,111410,4
236,135925,4
237,137841,4
238,112618,4
239,111884,4
240,102098,4
241,114915,4
242,111475,4
243,137211,4
244,111609,4
245,131098,5
246,112364,4
247,137556,5
248,115765,4
249,100925,4
250,102861,4
251,111429,4
252,119254,4
253,113486,4
254,111499,4
255,111443,4
256,114295,4
257,112285,4
258,102200,4
259,115666,4
260,112037,5
261,112650,4
262,102506,4
263,113946,4
264,105456,4
265,151427,4
266,156084,4
267,103071,4
268,119714,3
269,112823,4
270,111684,4
271,112788,4
272,101020,2
273,103118,4
274,102249,4
275,102067,4
276,103864,4
277,113768,4
278,135832,4
279,112253,4
280,106123,4
281,101769,4
282,111704,4
283,111563,4
284,169167,4
285,162494,3
286,101908,4
287,111439,4
288,103307,4
289,146785,4
290,101669,3
291,194455,3
292,155372,4
293,139171,3
294,103310,3
295,164341,4
296,156311,3
297,136112,4
298,177452,4
299,112563,4
300,103174,4
301,171290,3
302,112273,4
303,136252,4
304,103124,4
305,104305,4
306,140486,4
307,195467,5
308,140818,4
309,103608,4
310,103666,4
311,124723,3
312,111393,4
313,136833,4
314,104432,4
315,111699,4
316,196531,4
317,103001,4
318,142982,3
319,132012,3
320,113916,4
321,135833,4
322,157573,4
323,116679,4
324,135710,5
325,179021,4
326,114012,4
327,193841,3
328,157154,4
329,111469,4
330,141258,4
331,114651,4
332,147920,4
333,179245,3
334,120213,4
335,149025,3
336,136431,4
337,111560,4
338,140699,4
339,102168,4
340,179194,4
341,102963,4
342,112178,4
343,136385,4
344,195580,3
345,134185,3
346,111400,4
347,141223,4
348,123627,4
349,104436,4
350,162852,3
351,123410,4
352,113903,4
353,131312,4
354,111627,4
355,112076,4
356,103724,4
357,114216,4
358,132382,4
359,137046,4
360,111392,3
361,102031,4
362,154461,4
363,136546,3
364,105435,4
365,148719,3
366,111652,4
367,105865,4
368,169210,4
369,148262,3
370,162766,4
371,105907,4
372,137158,3
373,140311,4
374,157511,3
375,136049,4
376,151855,4
377,196182,4
378,183760,3
379,103324,3
380,174420,4
381,139066,4
382,111683,4
383,147573,3
384,112705,3
385,179262,4
386,136263,4
387,135842,3
388,179330,3
389,135989,4
390,171003,4
391,179286,4
392,101804,4
393,111532,4
394,146085,3
395,101928,4
396,101582,4
397,127459,4
398,140783,4
399,155927,4
400,139133,4
401,136695,4
402,129444,4
403,104694,4
404,136285,4
405,105305,4
406,104185,4
407,193966,4
408,120827,4
409,149390,4
410,147290,3
411,169129,4
412,137127,4
413,138925,4
414,141876,5
415,135826,5
416,105940,4
417,155408,4
418,171041,4
419,152086,3
420,101623,3
421,101568,4
