Unnamed: 0,id,type,ela,grapes,harmon,abv,body,acid,code,region,winery,rating,rating_1,rating_2,rating_3,rating_4,rating_5
0,100001,0,0,0,0,7.5,0,0,0,1001,10001,4,0,0,0,1,0
1,100002,1,0,1,1,12,0,1,0,1001,10001,3,0,0,1,0,0
2,100003,1,0,1,2,12,1,0,0,1001,10002,3,0,0,1,0,0
3,100004,2,0,1,3,12,0,1,0,1001,10003,3,0,0,1,0,0
4,100005,1,1,1,4,11,1,1,0,1001,10000,3,0,0,1,0,0
5,100006,1,0,2,2,12.5,1,0,0,1001,10000,3,0,0,1,0,0
6,100007,0,0,2,0,7.5,0,0,0,1001,10012,3,0,0,1,0,0
7,100008,1,0,2,2,13.5,1,0,0,1001,10011,3,0,0,1,0,0
8,100009,1,1,2,4,12.5,1,0,0,1004,10013,3,0,0,1,0,0
9,100010,1,2,2,5,14,1,0,1,1038,12039,4,0,0,0,1,0
10,100011,1,2,3,6,13.5,1,2,2,2285,39355,4,0,0,0,1,0
11,100012,2,3,3,7,9,2,0,1,1034,12474,4,0,0,0,1,0
12,100013,3,4,4,8,19.5,3,0,1,1031,10674,4,0,0,0,1,0
13,100014,3,4,5,8,19.5,3,0,1,1031,10674,4,0,0,0,1,0
14,100015,1,0,5,9,10.3,0,0,0,1000,10028,3,0,0,1,0,0
15,100016,1,2,5,10,11,0,2,0,1001,10010,3,0,0,1,0,0
16,100017,4,2,5,11,12.5,0,0,0,1001,10000,4,0,0,0,1,0
17,100018,1,0,5,2,13,1,0,0,1001,10025,4,0,0,0,1,0
18,100019,1,0,5,12,14.9,1,0,0,1002,10020,4,0,0,0,1,0
19,100020,1,0,5,13,12.5,1,2,0,1001,10014,4,0,0,0,1,0
20,100021,1,0,5,13,13.5,1,2,0,1002,10426,4,0,0,0,1,0
21,100022,0,0,5,0,11.5,0,0,0,1001,10022,3,0,0,1,0,0
22,100023,1,0,5,13,14,1,2,0,1002,10014,4,0,0,0,1,0
23,100024,1,1,5,4,14,1,0,0,1002,10013,4,0,0,0,1,0
24,100025,0,2,5,0,12,0,0,0,1001,10001,3,0,0,1,0,0
25,100026,1,0,5,2,12,1,0,0,1001,10014,4,0,0,0,1,0
26,100027,1,0,5,4,14,1,0,0,1020,10559,4,0,0,0,1,0
27,100028,0,2,5,0,11.5,0,0,0,1001,10014,4,0,0,0,1,0
28,100029,1,2,5,10,13,1,1,0,1001,10011,4,0,0,0,1,0
29,100030,5,2,5,14,12,0,1,0,1004,10013,4,0,0,0,1,0
30,100031,1,0,5,2,13,1,0,0,1004,10013,3,0,0,1,0,0
31,100032,1,0,5,13,13.5,1,2,0,1002,10013,4,0,0,0,1,0
32,100033,1,2,5,15,13.5,1,1,0,1002,10442,4,0,0,0,1,0
33,100034,1,0,5,13,13,1,2,0,1004,10013,3,0,0,1,0,0
34,100035,0,2,5,0,13,0,0,0,1001,10014,4,0,0,0,1,0
35,100036,1,2,5,16,12,0,2,0,1002,10014,3,0,0,1,0,0
36,100037,1,0,5,13,12.5,1,2,0,1001,10085,4,0,0,0,1,0
37,100038,1,0,5,4,13.5,1,0,0,1002,10442,4,0,0,0,1,0
38,100039,1,0,5,13,13,1,2,0,1004,10011,4,0,0,0,1,0
39,100040,1,0,5,13,13.5,1,2,0,1002,10020,3,0,0,1,0,0
40,100041,2,0,5,17,13.5,1,0,0,1002,10020,4,0,0,0,1,0
41,100042,1,0,5,13,14,1,2,0,1001,10014,4,0,0,0,1,0
42,100043,2,0,5,17,13.5,1,0,0,1001,10014,4,0,0,0,1,0
43,100044,1,0,5,18,13,1,1,0,1002,10426,4,0,0,0,1,0
44,100045,1,0,5,19,12,1,0,0,1002,10020,3,0,0,1,0,0
45,100046,1,0,5,4,14,1,0,0,1027,10559,4,0,0,0,1,0
46,100047,1,0,5,2,12.5,1,0,0,1001,10014,4,0,0,0,1,0
47,100048,1,0,5,13,12.5,1,2,0,1001,10000,3,0,0,1,0,0
48,100049,1,1,5,4,14,1,0,0,1002,10013,4,0,0,0,1,0
49,100050,1,0,5,13,13,1,2,0,1002,10426,3,0,0,1,0,0
50,100051,1,0,5,13,13.5,1,2,0,1002,10442,4,0,0,0,1,0
51,100052,1,0,5,20,12.5,0,2,0,1001,10000,3,0,0,1,0,0
52,100053,1,0,5,2,12,1,0,0,1001,10000,3,0,0,1,0,0
53,100054,1,2,5,10,13.5,1,0,0,1002,10426,4,0,0,0,1,0
54,100055,1,0,5,2,13,1,0,0,1001,10000,4,0,0,0,1,0
55,100056,0,0,5,0,11.5,0,0,0,1001,10011,3,0,0,1,0,0
56,100057,1,1,5,4,13.6,1,0,0,1012,10507,3,0,0,1,0,0
57,100058,1,0,5,21,13,0,1,0,1002,10426,3,0,0,1,0,0
58,100059,1,0,5,13,12.5,1,2,0,1001,10000,3,0,0,1,0,0
59,100060,1,0,5,21,14,3,1,0,1004,10013,3,0,0,1,0,0
60,100061,0,0,5,0,8,0,0,0,1001,10010,4,0,0,0,1,0
61,100062,1,0,5,22,13,1,1,0,1002,10014,4,0,0,0,1,0
62,100063,1,5,5,8,13,1,1,0,1004,10013,4,0,0,0,1,0
63,100064,0,0,6,0,12,0,0,0,1001,10051,3,0,0,1,0,0
64,100065,0,0,6,0,7.5,0,0,0,1001,10000,4,0,0,0,1,0
65,100066,1,0,6,13,14,1,1,0,1002,10426,4,0,0,0,1,0
66,100067,0,2,6,0,12,0,0,0,1001,10014,4,0,0,0,1,0
67,100068,1,0,6,23,13,0,1,0,1002,10022,4,0,0,0,1,0
68,100069,5,2,6,24,13.2,0,1,0,1012,10507,4,0,0,0,1,0
69,100070,1,0,6,19,12,1,0,0,1001,10000,3,0,0,1,0,0
70,100071,1,0,6,2,12,1,0,0,1002,10014,4,0,0,0,1,0
71,100072,1,0,6,25,13,0,1,0,1004,10013,3,0,0,1,0,0
72,100073,0,0,6,0,7.5,0,0,0,1001,10011,3,0,0,1,0,0
73,100074,1,2,6,4,12.7,1,0,0,1002,10020,4,0,0,0,1,0
74,100075,2,0,6,26,12.5,0,1,0,1001,10014,4,0,0,0,1,0
75,100076,1,0,6,2,13,1,0,0,1001,10011,3,0,0,1,0,0
76,100077,4,2,6,27,12.5,1,0,0,1001,10000,3,0,0,1,0,0
77,100078,1,0,6,21,13,0,2,0,1004,10487,4,0,0,0,1,0
78,100079,1,0,6,23,13.5,1,1,0,1002,10442,4,0,0,0,1,0
79,100080,1,0,6,28,13.5,1,0,0,1002,10020,3,0,0,1,0,0
80,100081,1,1,6,4,12,1,0,0,1001,10001,3,0,0,1,0,0
81,100082,1,0,6,2,12.5,1,0,0,1002,10054,3,0,0,1,0,0
82,100083,1,0,6,19,12.5,1,0,0,1004,10013,3,0,0,1,0,0
83,100084,1,0,6,13,12,1,2,0,1001,10001,3,0,0,1,0,0
84,100085,1,0,6,2,13,1,0,0,1002,10426,3,0,0,1,0,0
85,100086,2,2,6,17,12,0,1,0,1004,10013,3,0,0,1,0,0
86,100087,1,0,6,13,12.5,1,2,0,1001,10001,3,0,0,1,0,0
87,100088,0,2,6,29,7.5,4,1,0,1001,10001,4,0,0,0,1,0
88,100089,2,2,6,30,13,0,2,0,1002,10014,3,0,0,1,0,0
89,100090,1,0,6,13,12,1,2,0,1002,10054,3,0,0,1,0,0
90,100091,1,0,6,13,13,1,2,0,1002,10020,3,0,0,1,0,0
91,100092,0,2,6,0,12.5,0,0,0,1001,10412,4,0,0,0,1,0
92,100093,1,0,6,2,12,1,0,0,1001,10001,3,0,0,1,0,0
93,100094,0,0,6,0,11,0,0,0,1001,10010,4,0,0,0,1,0
94,100095,1,0,6,21,12,0,1,0,1001,10001,3,0,0,1,0,0
95,100096,1,2,6,4,13.7,1,0,0,1012,10507,4,0,0,0,1,0
96,100097,0,0,6,0,7.5,0,0,0,1010,10013,3,0,0,1,0,0
97,100098,1,0,6,2,14,1,0,0,1004,10013,4,0,0,0,1,0
98,100099,1,0,6,21,13.5,1,1,0,1002,10022,4,0,0,0,1,0
99,100100,1,1,6,4,14,1,0,0,1003,10469,3,0,0,1,0,0
100,100101,1,2,6,10,13.5,1,0,0,1001,10426,4,0,0,0,1,0
101,100102,0,2,6,0,12,0,0,0,1001,10412,4,0,0,0,1,0
102,100103,1,0,6,31,13,1,1,0,1000,10014,4,0,0,0,1,0
103,100104,1,0,6,8,13.5,1,1,0,1004,10013,4,0,0,0,1,0
104,100105,1,0,6,32,13.5,0,0,0,1004,10014,4,0,0,0,1,0
